nct_id,title,status,phase,study_type,conditions,lead_sponsor,start_date,completion_date,enrollment_count,sponsor_class,num_sites,fda_regulated_drug,minimum_age,maximum_age,accepts_healthy,sex,num_collaborators
NCT07486947,LISTENING: Unveiling Malnutrition and Metabolic Changes in Lung Cancer Patients: Setting the Basis for Precision Nutrition Models. The Listenig Nutritional Study is Part of the Project MENTORING (Project ID: 101162297; Call: HORIZON-EIC-2023-PATHFINDERCHALLENGES-01; Programme: HORIZON; DG/Agency: EISMEA; Title: Addressing Malnutrition and Metabolic Health in Non-communicable Diseases Through Precision Nutrition: Impact in Quality of Life and Prognosis of Lung Cancer Patients),RECRUITING,,OBSERVATIONAL,Lung Cancer,Fundación Investigación E Innovación Biomédica Hospital Universitario Infanta Sofia-Henares,2024-12-15,2026-12,180.0,OTHER,3,,18 Years,85 Years,True,ALL,0
NCT04715438,Vaccination Against cOvid In CancEr,UNKNOWN,NA,INTERVENTIONAL,Cancer,University Medical Center Groningen,2021-01-08,2025-04,791.0,OTHER,3,False,18 Years,,True,ALL,0
NCT07064876,"A Single-Arm, Phase II Clinical Study of Serplulimab Combined With Cryoablation for Early-Stage Non-Small Cell Lung Cancer",NOT_YET_RECRUITING,PHASE2,INTERVENTIONAL,Early Lung Cancer,Xi Junjie,2025-10,2027-09,25.0,OTHER,1,False,18 Years,,False,ALL,0
NCT00002540,"Prostate, Lung, Colorectal, and Ovarian (PLCO) Cancer Screening Trial",ACTIVE_NOT_RECRUITING,NA,INTERVENTIONAL,Prostate Carcinoma,National Cancer Institute (NCI),1993-11-16,2027-06-30,76685.0,NIH,1,,55 Years,74 Years,False,MALE,0
NCT00250068,Phase II Study of Aerosolized Liposomal 9-Nitro-20 (S)- Camptothecin (L9NC),COMPLETED,PHASE2,INTERVENTIONAL,"Lung Diseases, Cancer",University of New Mexico,2003-04,2007-12,8.0,OTHER,1,,18 Years,,False,ALL,0
NCT00712504,A Phase 1 Safety And Pharmacokinetic Study Of SU011248 In Combination With Docetaxel In Patients With Advanced Solid Tumors,COMPLETED,PHASE1,INTERVENTIONAL,"Advanced Solid Tumors, Non Small Cell Lung Cancer",Pfizer,2004-07,2007-11,49.0,INDUSTRY,5,,18 Years,,False,ALL,0
NCT03767517,"A Community Developed, Culturally-Based Palliative Care Tele-Consult Program for African American and White Rural Southern Elders With a Life Limiting Illness",COMPLETED,NA,INTERVENTIONAL,"Cancer, Cardiac Disease, Pulmonary Disease, Neuro-Degenerative Disease, Renal Disease, Stroke, Sepsis, Hepatic Disease",University of Alabama at Birmingham,2020-08-24,2024-08-30,209.0,OTHER,4,False,55 Years,,False,ALL,1
NCT05738317,"A Prospective, Single-arm, Phase II Trial of Adebrelimab Combined With Bevacizumab and Albumin Paclitaxel in Advanced Non-squamous Non-small Cell Lung Cancer After First-line Immunotherapy Progression",UNKNOWN,PHASE2,INTERVENTIONAL,Non-small Cell Lung Cancer,Xiaorong Dong,2022-12-01,2024-12-01,45.0,OTHER,1,False,18 Years,,False,ALL,0
NCT01083589,Phase II Study of Imatinib Mesylate and Docetaxel in Pretreated Patients With Metastatic NSCLC,COMPLETED,PHASE2,INTERVENTIONAL,Non-small Cell Lung Cancer,M.D. Anderson Cancer Center,2005-01,2011-07,22.0,OTHER,1,,18 Years,,False,ALL,1
NCT00539968,"An Open-Label, Two-Part Study to Determine the Safety, Tolerability, and Activity of Lonafarnib and Docetaxel",TERMINATED,"PHASE1, PHASE2",INTERVENTIONAL,"Prostate Cancer, Breast Cancer, Ovarian Cancer, Lung Cancer, Gastric Cancer",Merck Sharp & Dohme LLC,2007-06,2009-12,5.0,INDUSTRY,0,,18 Years,,False,ALL,0
